problem_id,room_dim,stage_dim,musicians_count,instrument_count,attendees_count,pillar_count,radii_num,radii_min,radii_max,best_score,%% of total score,theoretical_max_score,newton_max_score,%% our score / Newton max
1,3649 x 4350,1176 x 605,1059,132,1000,0,,,,14112601570.,12.46,2.29068612564e+12,85163241490.,16.57
2,8689 x 6523,1103 x 491,635,438,1000,0,,,,14325499300.,12.64,1.33707593745e+12,59528150690.,24.07
3,2426 x 6421,240 x 896,190,101,1000,0,,,,924776690.,0.82,35507164920.,2071998490.,44.63
4,9340 x 2339,418 x 411,360,314,1000,0,,,,407854540.,0.36,19720486540.,1951114520.,20.90
5,7859 x 5821,831 x 1843,700,700,1000,0,,,,734620040.,0.65,44240567120.,1523052140.,48.23
6,4677 x 8826,1481 x 2717,205,27,1000,0,,,,1582770990.,1.40,35086274670.,1710994930.,92.51
7,6111 x 9953,841 x 2931,551,2,1000,0,,,,887253770.,0.78,46371320240.,1445808300.,61.37
8,2166 x 5248,124 x 949,124,40,5000,0,,,,18365225290.,16.21,259124225400.,31439845120.,58.41
9,1000 x 1000,175 x 200,56,38,1000,0,,,,926595120.,0.82,6801593500.,1952464510.,47.46
10,1000 x 1000,253 x 164,94,4,1000,0,,,,339939450.,0.30,4159055270.,648962710.,52.38
11,1000 x 1000,232 x 277,149,115,1000,0,,,,2450732250.,2.16,40963851370.,6859562530.,35.73
12,1000 x 1000,227 x 194,32,11,5000,0,,,,8932180240.,7.88,70261382120.,14131311180.,63.21
13,1000 x 1000,276 x 318,52,22,1000,0,,,,787485020.,0.70,2960311040.,730311590.,107.83
14,1000 x 1000,156 x 168,34,15,1000,0,,,,26569690.,0.02,90688670.,28388610.,93.59
15,1000 x 1000,208 x 167,56,9,1000,0,,,,502338590.,0.44,11436792920.,2282989680.,22.00
16,1000 x 1000,129 x 207,13,6,1000,0,,,,12264440.,0.01,1629962830.,232761950.,5.27
17,1547 x 3049,299 x 716,56,51,5000,0,,,,4073900.,0.00,207020570.,149081230.,2.73
18,4444 x 5794,1243 x 1464,711,563,5000,0,,,,23778870.,0.02,1555229290.,1012661670.,2.35
19,2954 x 7680,791 x 388,326,236,5000,0,,,,2341340.,0.00,15317610.,14160420.,16.53
20,6073 x 3064,1904 x 498,1013,452,500,0,,,,1612490.,0.00,56592660.,42328650.,3.81
21,5853 x 8495,303 x 543,129,46,1000,0,,,,522040.,0.00,2099320.,1983990.,26.31
